H                            InChI=1S/H
N                            InChI=1S/N
NH2OH                        InChI=1S/H3NO/c1-2/h2H,1H2
N2H2                         InChI=1S/H2N2/c1-2/h1-2H
H2                           InChI=1S/H2/h1H
NH                           InChI=1S/HN/h1H
NO2                          InChI=1S/NO2/c2-1-3
N2H3                         InChI=1S/H3N2/c1-2/h1H,2H2
O                            InChI=1S/O
NH2                          InChI=1S/H2N/h1H2
HNO2                         InChI=1S/HNO2/c1-2-3-1/h1H
N2H4                         InChI=1S/H4N2/c1-2/h1-2H2
OH                           InChI=1S/HO/h1H
NH3                          InChI=1S/H3N/h1H3
HONO                         InChI=1S/HNO2/c2-1-3/h(H,2,3)
N2O                          InChI=1S/N2O/c1-2-3
OHV                          InChI=1S/HO/h1H
NO                           InChI=1S/NO/c1-2
NO3                          InChI=1S/NO3/c2-1(3)4
H2O                          InChI=1S/H2O/h1H2
HON                          InChI=1S/HNO/c1-2/h2H
HONO2                        InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)
O2                           InChI=1S/O2/c1-2
HNO                          InChI=1S/HNO/c1-2/h1H
N2                           InChI=1S/N2/c1-2
HE                           InChI=1S/He
HO2                          InChI=1S/HO2/c1-2/h1H
HNOH                         InChI=1S/H2NO/c1-2/h1-2H
NNH                          InChI=1S/HN2/c1-2/h1H
AR                           InChI=1S/Ar
H2O2                         InChI=1S/H2O2/c1-2/h1-2H
H2NO                         InChI=1S/H2NO/c1-2/h1H2
H2NN                         InChI=1S/H2N2/c1-2/h1H2
C                            InChI=1S/C
CO                           InChI=1S/CO/c1-2
CO2                          InChI=1S/CO2/c2-1-3
CH3O2H                       InChI=1S/CH4O2/c1-3-2/h2H,1H3
CH                           InChI=1S/CH/h1H
HCO                          InChI=1S/CHO/c1-2/h1H
HOCO                         InChI=1S/CHO2/c2-1-3/h(H,2,3)
O2CHO                        InChI=1S/CHO3/c2-1-4-3/h1H
CHV                          InChI=1S/CH/h1H
CH2O                         InChI=1S/CH2O/c1-2/h1H2
OCHO                         InChI=1S/CHO2/c2-1-3/h1H
HO2CHO                       InChI=1S/CH2O3/c2-1-4-3/h1,3H
CH2                          InChI=1S/CH2/h1H2
HCOH                         InChI=1S/CH2O/c1-2/h1-2H
HOCHO                        InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)
HOCH2O2                      InChI=1S/CH3O3/c2-1-4-3/h2H,1H2
CH2(S)                       InChI=1S/CH2/h1H2
CH3O                         InChI=1S/CH3O/c1-2/h1H3
CH3O2                        InChI=1S/CH3O2/c1-3-2/h1H3
OCH2O2H                      InChI=1S/CH3O3/c2-1-4-3/h3H,1H2
