HE InChI=1S/He
H2 InChI=1S/H2/h1H
H InChI=1S/H
O InChI=1S/O
OH InChI=1S/HO/h1H
H2O InChI=1S/H2O/h1H2
O2 InChI=1S/O2/c1-2
OHV EXCITED_InChI=1S/HO/h1H
N2 InChI=1S/N2/c1-2
AR InChI=1S/Ar
CO2 InChI=1S/CO2/c2-1-3
CO InChI=1S/CO/c1-2
CH4 InChI=1S/CH4/h1H4
H2O2 InChI=1S/H2O2/c1-2/h1-2H
HO2 InChI=1S/HO2/c1-2/h1H
HOCO InChI=1S/CHO2/c2-1-3/h(H,2,3)
OCHO InChI=1S/CHO2/c2-1-3/h1H
CH3 InChI=1S/CH3/h1H3
CH2CO InChI=1S/C2H2O/c1-2-3/h1H2
O2CHO InChI=1S/CHO3/c2-1-4-3/h1H
HO2CHO InChI=1S/CH2O3/c2-1-4-3/h1,3H
CH3O2 InChI=1S/CH3O2/c1-3-2/h1H3
CH3O2H InChI=1S/CH4O2/c1-3-2/h2H,1H3
CH2 InChI=1S/CH2/h1H2
CH2(S) SINGLET_InChI=1S/CH2/h1H2
HCO InChI=1S/CHO/c1-2/h1H
CH InChI=1S/CH/h1H
CH2O InChI=1S/CH2O/c1-2/h1H2
C2H2 InChI=1S/C2H2/c1-2/h1-2H
C2H4 InChI=1S/C2H4/c1-2/h1-2H2
C3H3 InChI=1S/C3H3/c1-3-2/h1H,2H2
CHV EXCITED_InChI=1S/CH/h1H
C InChI=1S/C
CH3O InChI=1S/CH3O/c1-2/h1H3
CH2O2H InChI=1S/CH3O2/c1-3-2/h2H,1H2
CH2OH InChI=1S/CH3O/c1-2/h2H,1H2
HCOH InChI=1S/CH2O/c1-2/h1-2H
CH3OH InChI=1S/CH4O/c1-2/h2H,1H3
CH3OOCH3 InChI=1S/C2H6O2/c1-3-4-2/h1-2H3
HOCHO InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)
HOCH2O InChI=1S/CH3O2/c2-1-3/h2H,1H2
OCH2O2H InChI=1S/CH3O3/c2-1-4-3/h3H,1H2
HOCH2O2 InChI=1S/CH3O3/c2-1-4-3/h2H,1H2
HOCH2O2H InChI=1S/CH4O3/c2-1-4-3/h2-3H,1H2
C2H5 InChI=1S/C2H5/c1-2/h1H2,2H3
C2H6 InChI=1S/C2H6/c1-2/h1-2H3
C2H5O2 InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3
C2H5O2H InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3
C2H3 InChI=1S/C2H3/c1-2/h1H,2H2
C2H5O InChI=1S/C2H5O/c1-2-3/h2H2,1H3
C2H4O2H InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2
C2H4O1-2 InChI=1S/C2H4O/c1-2-3-1/h1-2H2
C2-OOQOOH InChI=1S/C2H5O4/c3-5-1-2-6-4/h3H,1-2H2
HO2CH2CHO InChI=1S/C2H4O3/c3-1-2-5-4/h1,4H,2H2
NC3H7O2H InChI=1S/C3H8O2/c1-2-3-5-4/h4H,2-3H2,1H3
NC3H7O2 InChI=1S/C3H7O2/c1-2-3-5-4/h2-3H2,1H3
IC3H7O2H InChI=1S/C3H8O2/c1-3(2)5-4/h3-4H,1-2H3
IC3H7O2 InChI=1S/C3H7O2/c1-3(2)5-4/h3H,1-2H3
C2H5OH InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3
CH3CHO InChI=1S/C2H4O/c1-2-3/h2H,1H3
NC3H7O InChI=1S/C3H7O/c1-2-3-4/h2-3H2,1H3
NC3H7OH InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
C2H5CHO InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3
IC3H7O InChI=1S/C3H7O/c1-3(2)4/h3H,1-2H3
IC3H7OH InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3
CH3COCH3 InChI=1S/C3H6O/c1-3(2)4/h1-2H3
CH3CHOOH InChI=1S/C2H5O2/c1-2-4-3/h2-3H,1H3
C2H3O1-2 InChI=1S/C2H3O/c1-2-3-1/h1H,2H2
CH3CO InChI=1S/C2H3O/c1-2-3/h1H3
CH2CHO InChI=1S/C2H3O/c1-2-3/h2H,1H2
H2CC InChI=1S/C2H2/c1-2/h1H2
CH3CO3 InChI=1S/C2H3O3/c1-2(3)5-4/h1H3
CH3CO3H InChI=1S/C2H4O3/c1-2(3)5-4/h4H,1H3
C2H3OO InChI=1S/C2H3O2/c1-2-4-3/h2H,1H2
C2H3OOH InChI=1S/C2H4O2/c1-2-4-3/h2-3H,1H2
C2H3OH InChI=1S/C2H4O/c1-2-3/h2-3H,1H2
PC2H4OH InChI=1S/C2H5O/c1-2-3/h3H,1-2H2
CHCHO InChI=1S/C2H2O/c1-2-3/h1-2H
CHOCHO InChI=1S/C2H2O2/c3-1-2-4/h1-2H
C2H InChI=1S/C2H/c1-2/h1H
HCCOH InChI=1S/C2H2O/c1-2-3/h1,3H
C2H2OH InChI=1S/C2H3O/c1-2-3/h1-3H
HCCO InChI=1S/C2HO/c1-2-3/h1H
C2 InChI=1S/C2/c1-2
C2O InChI=1S/C2O/c1-2-3
CH3CHOHOJ InChI=1S/C2H5O2/c1-2(3)4/h2-3H,1H3
CH3COOH InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)
CH2CO2 InChI=1S/C2H2O2/c1-2(3)4/h1H2
O2CH2CHO InChI=1S/C2H3O3/c3-1-2-5-4/h1H,2H2
HO2CH2CO InChI=1S/C2H3O3/c3-1-2-5-4/h4H,2H2
CH3CO2 InChI=1S/C2H3O2/c1-2(3)4/h1H3
CH2COOH InChI=1S/C2H3O2/c1-2(3)4/h3H,1H2
SC2H4OH InChI=1S/C2H5O/c1-2-3/h2-3H,1H3
O2C2H4OH InChI=1S/C2H5O3/c3-1-2-5-4/h3H,1-2H2
CH3OCH3 InChI=1S/C2H6O/c1-3-2/h1-2H3
CH3OCH2 InChI=1S/C2H5O/c1-3-2/h1H2,2H3
CH3OCH2O2 InChI=1S/C2H5O3/c1-4-2-5-3/h2H2,1H3
CH3OCH2O2H InChI=1S/C2H6O3/c1-4-2-5-3/h3H,2H2,1H3
CH2OCHO InChI=1S/C2H3O2/c1-4-2-3/h2H,1H2
CH3OCHO InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3
CH3OCO InChI=1S/C2H3O2/c1-4-2-3/h1H3
CH2OCH2O2H InChI=1S/C2H5O3/c1-4-2-5-3/h3H,1-2H2
O2CH2OCH2O2H InChI=1S/C2H5O5/c3-6-1-5-2-7-4/h3H,1-2H2
HO2CH2OCHO InChI=1S/C2H4O4/c3-1-5-2-6-4/h1,4H,2H2
CH3OCH2O InChI=1S/C2H5O2/c1-4-2-3/h2H2,1H3
OCH2OCHO InChI=1S/C2H3O3/c3-1-5-2-4/h1H,2H2
HOCH2OCO InChI=1S/C2H3O3/c3-1-5-2-4/h3H,1H2
C3H8 InChI=1S/C3H8/c1-3-2/h3H2,1-2H3
NC3H7 InChI=1S/C3H7/c1-3-2/h1,3H2,2H3
IC3H7 InChI=1S/C3H7/c1-3-2/h3H,1-2H3
C3H5-A InChI=1S/C3H5/c1-3-2/h3H,1-2H2
C3H5O InChI=1S/C3H5O/c1-2-3-4/h2H,1,3H2
C3H6 InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3
C3H6OOH1-2 InChI=1S/C3H7O2/c1-2-3-5-4/h2,4H,3H2,1H3
C3H6OOH1-3 InChI=1S/C3H7O2/c1-2-3-5-4/h4H,1-3H2
C3H6O1-2 InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3
C3H6OOH2-1 InChI=1S/C3H7O2/c1-3(2)5-4/h3-4H,1H2,2H3
C3H6O1-3 InChI=1S/C3H6O/c1-2-4-3-1/h1-3H2
C3H6OOH1-3O2 InChI=1S/C3H7O4/c4-6-2-1-3-7-5/h4H,1-3H2
C3H6OOH1-2O2 InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3-4H,2H2,1H3
C3H6OOH2-1O2 InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3,5H,2H2,1H3
OCHCH2CH2O InChI=1S/C3H5O2/c4-2-1-3-5/h2H,1,3H2
AC3H5OOH InChI=1S/C3H6O2/c1-2-3-5-4/h2,4H,1,3H2
C3H5O1-2OOH-3 InChI=1S/C3H6O3/c4-6-2-3-1-5-3/h3-4H,1-2H2
C3H51-2,3OOH InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3-5H,1-2H2
CH3COCH2O InChI=1S/C3H5O2/c1-3(5)2-4/h2H2,1H3
C2H4OCHO InChI=1S/C3H5O2/c1-3(5)2-4/h2-3H,1H3
C3H5-SOOH InChI=1S/C3H6O2/c1-2-3-5-4/h2-4H,1H3
IC3H5Q InChI=1S/C3H6O2/c1-3(2)5-4/h4H,1H2,2H3
C3KET21 InChI=1S/C3H6O3/c1-3(4)2-6-5/h5H,2H2,1H3
C3KET12 InChI=1S/C3H6O3/c1-3(2-4)6-5/h2-3,5H,1H3
C3KET13 InChI=1S/C3H6O3/c4-2-1-3-6-5/h2,5H,1,3H2
C2H3CHO InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2
C3H4-A InChI=1S/C3H4/c1-3-2/h1-2H2
C2H3CO InChI=1S/C3H3O/c1-2-3-4/h2H,1H2
C2H5CO InChI=1S/C3H5O/c1-2-3-4/h2H2,1H3
CH3OCHCH2 InChI=1S/C3H6O/c1-3-4-2/h3H,1H2,2H3
SC3H5OH InChI=1S/C3H6O/c1-2-3-4/h2-4H,1H3
CJCYCCO InChI=1S/C3H5O/c1-3-2-4-3/h3H,1-2H2
CCYCCJO InChI=1S/C3H5O/c1-3-2-4-3/h2-3H,1H3
CCYCCO-T1 InChI=1S/C3H5O/c1-3-2-4-3/h2H2,1H3
CH3CHCHO InChI=1S/C3H5O/c1-2-3-4/h2-3H,1H3
CH2CH2CHO InChI=1S/C3H5O/c1-2-3-4/h3H,1-2H2
CH3CHCO InChI=1S/C3H4O/c1-2-3-4/h2H,1H3
CH3COCH2 InChI=1S/C3H5O/c1-3(2)4/h1H2,2H3
CH2CHOCH2 InChI=1S/C3H5O/c1-3-4-2/h3H,1-2H2
CC3H6 InChI=1S/C3H6/c1-2-3-1/h1-3H2
