Mech. name,structure,InChI,class,LumpedSpecies
"CH3",*C,"InChI=1S/CH3/h1H3",R
"CH4",C,"InChI=1S/CH4/h1H4",HC
"C2H5",*C-C,"InChI=1S/C2H5/c1-2/h1H2,2H3",R
"C2H6",C-C,"InChI=1S/C2H6/c1-2/h1-2H3",HC
"C5H10-1",C=C-C-C-C,"InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3",OLE
"C3H5-A",C=C-*C,"InChI=1S/C3H5/c1-3-2/h3H,1-2H2",OLE-R
"C4H71-4",C=C-C-*C,"InChI=1S/C4H7/c1-3-4-2/h3H,1-2,4H2",OLE-R
"C5H91-1",*C=C-C-C-C,"InChI=1S/C5H9/c1-3-5-4-2/h1,3H,4-5H2,2H3",OLE-R
"C5H91-2",C=*C-C-C-C,"InChI=1S/C5H9/c1-3-5-4-2/h1,4-5H2,2H3",OLE-R
"C5H91-3",C=C-*C-C-C,"InChI=1S/C5H9/c1-3-5-4-2/h3,5H,1,4H2,2H3",OLE-R
"C5H91-4",C=C-C-*C-C,"InChI=1S/C5H9/c1-3-5-4-2/h3-4H,1,5H2,2H3",OLE-R
"C5H91-5",C=C-C-C-*C,"InChI=1S/C5H9/c1-3-5-4-2/h3H,1-2,4-5H2",OLE-R
"C5H91-3O2",C=C-COO*-C-C,"InChI=1S/C5H9O2/c1-3-5(4-2)7-6/h3,5H,1,4H2,2H3",ERR
"C5H91-4O2",C=C-C-COO*-C,"InChI=1S/C5H9O2/c1-3-4-5(2)7-6/h3,5H,1,4H2,2H3",ERR
"C5H91-5O2",C=C-C-C-COO*,"InChI=1S/C5H9O2/c1-2-3-4-5-7-6/h2H,1,3-5H2",ERR
"C5H81OOH3-4",C=C-COOH-*C-C,"InChI=1S/C5H9O2/c1-3-5(4-2)7-6/h3-6H,1H2,2H3",ERR
"C5H81OOH3-4O2",C=C-COOH-COO*-C,"InChI=1S/C5H9O4/c1-3-5(9-7)4(2)8-6/h3-5,7H,1H2,2H3",ERR
"C5H81OOH3-5",C=C-COOH-C-*C,"InChI=1S/C5H9O2/c1-3-5(4-2)7-6/h3,5-6H,1-2,4H2",ERR
"C5H81OOH3-5O2",C=C-COOH-C-COO*,"InChI=1S/C5H9O4/c1-2-5(9-7)3-4-8-6/h2,5,7H,1,3-4H2",ERR
"C5H81OOH4-3",C=C-*C-COOH-C,"InChI=1S/C5H9O2/c1-3-4-5(2)7-6/h3-6H,1H2,2H3",ERR
"C5H81OOH4-3O2",C=C-COO*-COOH-C,"InChI=1S/C5H9O4/c1-3-5(9-7)4(2)8-6/h3-6H,1H2,2H3",ERR
"C5H81OOH4-5",C=C-C-COOH-*C,"InChI=1S/C5H9O2/c1-3-4-5(2)7-6/h3,5-6H,1-2,4H2",ERR
"C5H81OOH4-5O2",C=C-C-COOH-COO*,"InChI=1S/C5H9O4/c1-2-3-5(9-7)4-8-6/h2,5,7H,1,3-4H2",ERR
"C5H81OOH5-3",C=C-*C-C-COOH,"InChI=1S/C5H9O2/c1-2-3-4-5-7-6/h2-3,6H,1,4-5H2",ERR
"C5H81OOH5-3O2",C=C-COO*-C-COOH,"InChI=1S/C5H9O4/c1-2-5(9-7)3-4-8-6/h2,5-6H,1,3-4H2",ERR
"C5H81OOH5-4",C=C-C-*C-COOH,"InChI=1S/C5H9O2/c1-2-3-4-5-7-6/h2,4,6H,1,3,5H2",ERR
"C5H81OOH5-4O2",C=C-C-COO*-COOH,"InChI=1S/C5H9O4/c1-2-3-5(9-7)4-8-6/h2,5-6H,1,3-4H2",ERR
"C5H71Q34-5",C=C-COOH-COOH-*C,"InChI=1S/C5H9O4/c1-3-5(9-7)4(2)8-6/h3-7H,1-2H2",ERR
"C5H71Q35-4",C=C-COOH-*C-COOH,"InChI=1S/C5H9O4/c1-2-5(9-7)3-4-8-6/h2-3,5-7H,1,4H2",ERR
"C5H71Q45-3",C=C-*C-COOH-COOH,"InChI=1S/C5H9O4/c1-2-3-5(9-7)4-8-6/h2-3,5-7H,1,4H2",ERR
"C5H81-3",C=C-C=C-C,"InChI=1S/C5H8/c1-3-5-4-2/h3-5H,1H2,2H3",dienes
"C5H8D14",C=C-C-C=C,"InChI=1S/C5H8/c1-3-5-4-2/h3-4H,1-2,5H2",dienes
"C4H61-3",C=C-C=C,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",dienes
"C2H3",C=*C,"InChI=1S/C2H3/c1-2/h1H,2H2",OLE-R
"C3H6",C=C-C,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",OLE
"C2H4",C=C,"InChI=1S/C2H4/c1-2/h1-2H2",OLE
"C2H3CHO",C=C-CO,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",OLE-CO
"CH2O",CO,"InChI=1S/CH2O/c1-2/h1H2",ALD/KETO
"C5H81O3-4",C=C-^C-^C-C,"InChI=1S/C5H8O/c1-3-5-4(2)6-5/h3-5H,1H2,2H3",ERR
"C5H81O3-5",C=C-^C-C-^C,"InChI=1S/C5H8O/c1-2-5-3-4-6-5/h2,5H,1,3-4H2",ERR
"C5H81O4-5",C=C-C-^C-^C,"InChI=1S/C5H8O/c1-2-3-5-4-6-5/h2,5H,1,3-4H2",ERR
"C5H71O35-4OOH",C=C-^C-COOH-^C,"InChI=1S/C5H8O3/c1-2-4-5(8-6)3-7-4/h2,4-6H,1,3H2",ERR
"C5H71O45-3OOH",C=C-COOH-^C-^C,"InChI=1S/C5H8O3/c1-2-4(8-6)5-3-7-5/h2,4-6H,1,3H2",ERR
"C5H71O34-5OOH",C=C-^C-^C-COOH,"InChI=1S/C5H8O3/c1-2-4-5(8-4)3-7-6/h2,4-6H,1,3H2",ERR
"CVCC(OO)CVC",C=C-COOH-C=C,"InChI=1S/C5H8O2/c1-3-5(4-2)7-6/h3-6H,1-2H2",ERR
"CVCCVCCOO",C=C-C=C-COOH,"InChI=1S/C5H8O2/c1-2-3-4-5-7-6/h2-4,6H,1,5H2",ERR
"C5H81KET34",C=C-CO-COOH-C,"InChI=1S/C5H8O3/c1-3-5(6)4(2)8-7/h3-4,7H,1H2,2H3",oleKHP
"C5H81KET35",C=C-CO-C-COOH,"InChI=1S/C5H8O3/c1-2-5(6)3-4-8-7/h2,7H,1,3-4H2",oleKHP
"C5H81KET43",C=C-COOH-CO-C,"InChI=1S/C5H8O3/c1-3-5(8-7)4(2)6/h3,5,7H,1H2,2H3",oleKHP
"C5H81KET45",C=C-C-CO-COOH,"InChI=1S/C5H8O3/c1-2-3-5(6)4-8-7/h2,7H,1,3-4H2",oleKHP
"C5H81KET53",C=C-COOH-C-CO,"InChI=1S/C5H8O3/c1-2-5(8-7)3-4-6/h2,4-5,7H,1,3H2",oleKHP
"C5H81KET54",C=C-C-COOH-CO,"InChI=1S/C5H8O3/c1-2-3-5(4-6)8-7/h2,4-5,7H,1,3H2",oleKHP
"CH3CHO",CO-C,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",ALD/KETO
"C2H3CO",*C-C=CO,"InChI=1S/C3H3O/c1-2-3-4/h2H,1H2",oleRO
"CH2CO",CO=C,"InChI=1S/C2H2O/c1-2-3/h1H2",OLE-CO
"CH3CO",*CO-C,"InChI=1S/C2H3O/c1-2-3/h1H3",ERR
"HCO",*CO,"InChI=1S/CHO/c1-2/h1H",ERR
"CH2CHO",*C-CO,"InChI=1S/C2H3O/c1-2-3/h2H,1H2",ERR
"C5H10OH12",COH-*C-C-C-C,"InChI=1S/C5H11O/c1-2-3-4-5-6/h4,6H,2-3,5H2,1H3",ROH
"C5H10OH21",*C-COH-C-C-C,"InChI=1S/C5H11O/c1-3-4-5(2)6/h5-6H,2-4H2,1H3",ROH
"C5H10OH-2O2",COH-COO*-C-C-C,"InChI=1S/C5H11O3/c1-2-3-5(4-6)8-7/h5-6H,2-4H2,1H3",ERR
"O2C5H10OH21",COO*-COH-C-C-C,"InChI=1S/C5H11O3/c1-2-3-5(6)4-8-7/h5-6H,2-4H2,1H3",ERR
"C5H10OH15",COH-C-C-C-*C,"InChI=1S/C5H11O/c1-2-3-4-5-6/h6H,1-5H2",ROH
"C5H10OH-5O2",COH-C-C-C-COO*,"InChI=1S/C5H11O3/c6-4-2-1-3-5-8-7/h6H,1-5H2",ERR
"C5H10OH-2J4",C-COH-C-*C-C,"InChI=1S/C5H11O/c1-3-4-5(2)6/h3,5-6H,4H2,1-2H3",ROH
"C5H10OH-2O2-4",C-COH-C-COO*-C,"InChI=1S/C5H11O3/c1-4(6)3-5(2)8-7/h4-6H,3H2,1-2H3",ERR
"C5H10OH25",C-COH-C-C-*C,"InChI=1S/C5H11O/c1-3-4-5(2)6/h5-6H,1,3-4H2,2H3",ROH
"C5H10OH-2O2-5",C-COH-C-C-COO*,"InChI=1S/C5H11O3/c1-5(6)3-2-4-8-7/h5-6H,2-4H2,1H3",ERR
"C5H9OH1Q2-1",C*OH-COOH-C-C-C,"InChI=1S/C5H11O3/c1-2-3-5(4-6)8-7/h4-7H,2-3H2,1H3",QOHOOH
"C5H9OH1Q2-3",COH-COOH-*C-C-C,"InChI=1S/C5H11O3/c1-2-3-5(4-6)8-7/h3,5-7H,2,4H2,1H3",QOHOOH
"C5H9OH1Q2-4",COH-COOH-C-*C-C,"InChI=1S/C5H11O3/c1-2-3-5(4-6)8-7/h2,5-7H,3-4H2,1H3",QOHOOH
"C5H9OH1Q2-5",COH-COOH-C-C-*C,"InChI=1S/C5H11O3/c1-2-3-5(4-6)8-7/h5-7H,1-4H2",QOHOOH
"C5H9OH2Q1-2",COOH-C*OH-C-C-C,"InChI=1S/C5H11O3/c1-2-3-5(6)4-8-7/h6-7H,2-4H2,1H3",QOHOOH
"C5H9OH2Q1-3",COOH-COH-*C-C-C,"InChI=1S/C5H11O3/c1-2-3-5(6)4-8-7/h3,5-7H,2,4H2,1H3",QOHOOH
"C5H9OH2Q1-4",COOH-COH-C-*C-C,"InChI=1S/C5H11O3/c1-2-3-5(6)4-8-7/h2,5-7H,3-4H2,1H3",QOHOOH
"C5H9OH2Q1-5",COOH-COH-C-C-*C,"InChI=1S/C5H11O3/c1-2-3-5(6)4-8-7/h5-7H,1-4H2",QOHOOH
"C5H9OH1Q5-4",COH-C-C-*C-COOH,"InChI=1S/C5H11O3/c6-4-2-1-3-5-8-7/h3,6-7H,1-2,4-5H2",QOHOOH
"C5H9OH1Q5-3",COH-C-*C-C-COOH,"InChI=1S/C5H11O3/c6-4-2-1-3-5-8-7/h1,6-7H,2-5H2",QOHOOH
"C5H9OH1Q5-2",COH-*C-C-C-COOH,"InChI=1S/C5H11O3/c6-4-2-1-3-5-8-7/h2,6-7H,1,3-5H2",QOHOOH
"C5H9OH1Q5-1",C*OH-C-C-C-COOH,"InChI=1S/C5H11O3/c6-4-2-1-3-5-8-7/h4,6-7H,1-3,5H2",QOHOOH
"C5H9OH2Q4-3",C-COH-*C-COOH-C,"InChI=1S/C5H11O3/c1-4(6)3-5(2)8-7/h3-7H,1-2H3",QOHOOH
"C5H9OH2Q4-5",C-COH-C-COOH-*C,"InChI=1S/C5H11O3/c1-4(6)3-5(2)8-7/h4-7H,2-3H2,1H3",QOHOOH
"C5H9OH2Q4-2",C-C*OH-C-COOH-C,"InChI=1S/C5H11O3/c1-4(6)3-5(2)8-7/h5-7H,3H2,1-2H3",QOHOOH
"C5H9OH2Q4-1",*C-COH-C-COOH-C,"InChI=1S/C5H11O3/c1-4(6)3-5(2)8-7/h4-7H,1,3H2,2H3",QOHOOH
"C5H9OH2Q5-4",C-COH-C-*C-COOH,"InChI=1S/C5H11O3/c1-5(6)3-2-4-8-7/h2,5-7H,3-4H2,1H3",QOHOOH
"C5H9OH2Q5-3",C-COH-*C-C-COOH,"InChI=1S/C5H11O3/c1-5(6)3-2-4-8-7/h3,5-7H,2,4H2,1H3",QOHOOH
"C5H9OH2Q5-2",C-C*OH-C-C-COOH,"InChI=1S/C5H11O3/c1-5(6)3-2-4-8-7/h6-7H,2-4H2,1H3",QOHOOH
"C5H9OH2Q5-1",*C-COH-C-C-COOH,"InChI=1S/C5H11O3/c1-5(6)3-2-4-8-7/h5-7H,1-4H2",QOHOOH
"C5H11-2",C-*C-C-C-C,"InChI=1S/C5H11/c1-3-5-4-2/h3H,4-5H2,1-2H3",R
"C5H11-1",*C-C-C-C-C,"InChI=1S/C5H11/c1-3-5-4-2/h1,3-5H2,2H3",R
"C5H91-3OOH",C=C-COOH-C-C,"InChI=1S/C5H10O2/c1-3-5(4-2)7-6/h3,5-6H,1,4H2,2H3",OLE-OOH
"C5H9O1-3",C=C-CO*-C-C,"InChI=1S/C5H9O/c1-3-5(6)4-2/h3,5H,1,4H2,2H3",alkRO
"I3C6D1",C=C-C(-C-C)-C,"InChI=1S/C6H12/c1-4-6(3)5-2/h4,6H,1,5H2,2-3H3",OLE
"C5H10OOH1-2",COOH-*C-C-C-C,"InChI=1S/C5H11O2/c1-2-3-4-5-7-6/h4,6H,2-3,5H2,1H3",QOOH
"C5H10OOH2-1",*C-COOH-C-C-C,"InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h5-6H,2-4H2,1H3",QOOH
"PC4H8CHO-1",CO-*C-C-C-C,"InChI=1S/C5H9O/c1-2-3-4-5-6/h4-5H,2-3H2,1H3",ERR
"NC3H7COCH2",*C-CO-C-C-C,"InChI=1S/C5H9O/c1-3-4-5(2)6/h2-4H2,1H3",ERR
"C2H5CHO",CO-C-C,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",ALD/KETO
"NC3H7CO",*CO-C-C-C,"InChI=1S/C4H7O/c1-2-3-4-5/h2-3H2,1H3",ERR
"NC3H7CHO",CO-C-C-C,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",ALD/KETO
"C5H10OOH2-1O",CO*-COOH-C-C-C,"InChI=1S/C5H11O3/c1-2-3-5(4-6)8-7/h5,7H,2-4H2,1H3",ERR
"C5H10OOH1-2O",COOH-CO*-C-C-C,"InChI=1S/C5H11O3/c1-2-3-5(6)4-8-7/h5,7H,2-4H2,1H3",ERR
"C5H9OH1-1",COH=C-C-C-C,"InChI=1S/C5H10O/c1-2-3-4-5-6/h4-6H,2-3H2,1H3",oleOH
"C5H9OH1-2",COH-C=C-C-C,"InChI=1S/C5H10O/c1-2-3-4-5-6/h3-4,6H,2,5H2,1H3",oleOH
"C5H9OH2-1",C=COH-C-C-C,"InChI=1S/C5H10O/c1-3-4-5(2)6/h6H,2-4H2,1H3",oleOH
"C5H9OH1-4",COH-C-C-C=C,"InChI=1S/C5H10O/c1-2-3-4-5-6/h2,6H,1,3-5H2",oleOH
"C5H9OH2-3",C-COH-C=C-C,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-6H,1-2H3",oleOH
"C5H9OH2-4",C-COH-C-C=C,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3,5-6H,1,4H2,2H3",oleOH
"C5H9OH1O1-2",^COH-^C-C-C-C,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7-4/h4-6H,2-3H2,1H3",ERR
"C5H9OH1O2-3",COH-^C-^C-C-C,"InChI=1S/C5H10O2/c1-2-4-5(3-6)7-4/h4-6H,2-3H2,1H3",ERR
"C5H9OH1O2-4",COH-^C-C-^C-C,"InChI=1S/C5H10O2/c1-4-2-5(3-6)7-4/h4-6H,2-3H2,1H3",ERR
"C5H9OH1O2-5",COH-^C-C-C-^C,"InChI=1S/C5H10O2/c6-4-5-2-1-3-7-5/h5-6H,1-4H2",ERR
"C5H9OH2O1-2",^C-^COH-C-C-C,"InChI=1S/C5H10O2/c1-2-3-5(6)4-7-5/h6H,2-4H2,1H3",ERR
"C5H9OH2O1-3",^C-COH-^C-C-C,"InChI=1S/C5H10O2/c1-2-5-4(6)3-7-5/h4-6H,2-3H2,1H3",ERR
"C5H9OH2O1-4",^C-COH-C-^C-C,"InChI=1S/C5H10O2/c1-4-2-5(6)3-7-4/h4-6H,2-3H2,1H3",ERR
"C5H9OH2O1-5",^C-COH-C-C-^C,"InChI=1S/C5H10O2/c6-5-2-1-3-7-4-5/h5-6H,1-4H2",ERR
"C5H9OH1O4-5",COH-C-C-^C-^C,"InChI=1S/C5H10O2/c6-3-1-2-5-4-7-5/h5-6H,1-4H2",ERR
"C5H9OH1O3-5",COH-C-^C-C-^C,"InChI=1S/C5H10O2/c6-3-1-5-2-4-7-5/h5-6H,1-4H2",ERR
"C5H9OH1O1-5",^COH-C-C-C-^C,"InChI=1S/C5H10O2/c6-5-3-1-2-4-7-5/h5-6H,1-4H2",ERR
"C5H9OH2O3-4",C-COH-^C-^C-C,"InChI=1S/C5H10O2/c1-3(6)5-4(2)7-5/h3-6H,1-2H3",ERR
"C5H9OH2O4-5",C-COH-C-^C-^C,"InChI=1S/C5H10O2/c1-4(6)2-5-3-7-5/h4-6H,2-3H2,1H3",ERR
"C5H9OH2O2-4",C-^COH-C-^C-C,"InChI=1S/C5H10O2/c1-4-3-5(2,6)7-4/h4,6H,3H2,1-2H3",ERR
"C5H9OH2O3-5",C-COH-^C-C-^C,"InChI=1S/C5H10O2/c1-4(6)5-2-3-7-5/h4-6H,2-3H2,1H3",ERR
"C5H9OH2O2-5",C-^COH-C-C-^C,"InChI=1S/C5H10O2/c1-5(6)3-2-4-7-5/h6H,2-4H2,1H3",ERR
"HOCH2CHO",COH-CO,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2",COHCHO
"QC3H5OHP",COH-COOH-*C,"InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-5H,1-2H2",QOHOOH
"C4H71-1OH",COH=C-C-C,"InChI=1S/C4H8O/c1-2-3-4-5/h3-5H,2H2,1H3",oleOH
"C2H3OH2Q1-2",COOH-C*OH,"InChI=1S/C2H5O3/c3-1-2-5-4/h1,3-4H,2H2",QOHOOH
"C4H71-4OH",COH-C-C=C,"InChI=1S/C4H8O/c1-2-3-4-5/h2,5H,1,3-4H2",oleOH
"C3H5OH",COH-C=C,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2",oleOH
"C2H4O2H",*C-COOH,"InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2",QOOH
"IC3H5OH",C-COH=C,"InChI=1S/C3H6O/c1-3(2)4/h4H,1H2,2H3",oleOH
"C2H3OH",C=COH,"InChI=1S/C2H4O/c1-2-3/h2-3H,1H2",oleOH
"C3H6OOH2-1",*C-COOH-C,"InChI=1S/C3H7O2/c1-3(2)5-4/h3-4H,1H2,2H3",QOOH
"C4H71-3OH",C-COH-C=C,"InChI=1S/C4H8O/c1-3-4(2)5/h3-5H,1H2,2H3",oleOH
"C5H9OH1Q2-3O2",COH-COOH-COO*-C-C,"InChI=1S/C5H11O5/c1-2-4(9-7)5(3-6)10-8/h4-6,8H,2-3H2,1H3",ERR
"C5H9OH1Q2-4O2",COH-COOH-C-COO*-C,"InChI=1S/C5H11O5/c1-4(9-7)2-5(3-6)10-8/h4-6,8H,2-3H2,1H3",ERR
"C5H9OH1Q2-5O2",COH-COOH-C-C-COO*,"InChI=1S/C5H11O5/c6-4-5(10-8)2-1-3-9-7/h5-6,8H,1-4H2",ERR
"C5H9OH2Q1-3O2",COOH-COH-COO*-C-C,"InChI=1S/C5H11O5/c1-2-5(10-8)4(6)3-9-7/h4-7H,2-3H2,1H3",ERR
"C5H9OH2Q1-4O2",COOH-COH-C-COO*-C,"InChI=1S/C5H11O5/c1-4(10-8)2-5(6)3-9-7/h4-7H,2-3H2,1H3",ERR
"C5H9OH2Q1-5O2",COOH-COH-C-C-COO*,"InChI=1S/C5H11O5/c6-5(4-10-8)2-1-3-9-7/h5-6,8H,1-4H2",ERR
"C5H9OH1Q5-4O2",COH-C-C-COO*-COOH,"InChI=1S/C5H11O5/c6-3-1-2-5(10-8)4-9-7/h5-7H,1-4H2",ERR
"C5H9OH1Q5-3O2",COH-C-COO*-C-COOH,"InChI=1S/C5H11O5/c6-3-1-5(10-8)2-4-9-7/h5-7H,1-4H2",ERR
"C5H9OH1Q5-2O2",COH-COO*-C-C-COOH,"InChI=1S/C5H11O5/c6-4-5(10-8)2-1-3-9-7/h5-7H,1-4H2",ERR
"C5H9OH2Q4-3O2",C-COH-COO*-COOH-C,"InChI=1S/C5H11O5/c1-3(6)5(10-8)4(2)9-7/h3-7H,1-2H3",ERR
"C5H9OH2Q4-5O2",C-COH-C-COOH-COO*,"InChI=1S/C5H11O5/c1-4(6)2-5(10-8)3-9-7/h4-6,8H,2-3H2,1H3",ERR
"C5H9OH2Q4-1O2",COO*-COH-C-COOH-C,"InChI=1S/C5H11O5/c1-4(10-8)2-5(6)3-9-7/h4-6,8H,2-3H2,1H3",ERR
"C5H9OH2Q5-4O2",C-COH-C-COO*-COOH,"InChI=1S/C5H11O5/c1-4(6)2-5(10-8)3-9-7/h4-7H,2-3H2,1H3",ERR
"C5H9OH2Q5-3O2",C-COH-COO*-C-COOH,"InChI=1S/C5H11O5/c1-4(6)5(10-8)2-3-9-7/h4-7H,2-3H2,1H3",ERR
"C5H9OH2Q5-1O2",COO*-COH-C-C-COOH,"InChI=1S/C5H11O5/c6-5(4-10-8)2-1-3-9-7/h5-7H,1-4H2",ERR
"C5H83OH1Q2",COH-COOH-C=C-C,"InChI=1S/C5H10O3/c1-2-3-5(4-6)8-7/h2-3,5-7H,4H2,1H3",OHoleOOH
"C5H84OH1Q2",COH-COOH-C-C=C,"InChI=1S/C5H10O3/c1-2-3-5(4-6)8-7/h2,5-7H,1,3-4H2",OHoleOOH
"C5H82OH2Q1",COOH-COH=C-C-C,"InChI=1S/C5H10O3/c1-2-3-5(6)4-8-7/h3,6-7H,2,4H2,1H3",OHoleOOH
"C5H83OH2Q1",COOH-COH-C=C-C,"InChI=1S/C5H10O3/c1-2-3-5(6)4-8-7/h2-3,5-7H,4H2,1H3",OHoleOOH
"C5H84OH2Q1",COOH-COH-C-C=C,"InChI=1S/C5H10O3/c1-2-3-5(6)4-8-7/h2,5-7H,1,3-4H2",OHoleOOH
"C5H82OH5Q1",COH-C-C=C-COOH,"InChI=1S/C5H10O3/c6-4-2-1-3-5-8-7/h1,3,6-7H,2,4-5H2",OHoleOOH
"C5H82OH1Q5",COH-C=C-C-COOH,"InChI=1S/C5H10O3/c6-4-2-1-3-5-8-7/h1-2,6-7H,3-5H2",OHoleOOH
"C5H81OH1Q5",COH=C-C-C-COOH,"InChI=1S/C5H10O3/c6-4-2-1-3-5-8-7/h2,4,6-7H,1,3,5H2",OHoleOOH
"C5H82OH2Q4",C-COH=C-COOH-C,"InChI=1S/C5H10O3/c1-4(6)3-5(2)8-7/h3,5-7H,1-2H3",OHoleOOH
"C5H81OH2Q4",C=COH-C-COOH-C,"InChI=1S/C5H10O3/c1-4(6)3-5(2)8-7/h5-7H,1,3H2,2H3",OHoleOOH
"C5H82OH4Q1",C-COH-C=C-COOH,"InChI=1S/C5H10O3/c1-5(6)3-2-4-8-7/h2-3,5-7H,4H2,1H3",OHoleOOH
"C5H82OH2Q5",C-COH=C-C-COOH,"InChI=1S/C5H10O3/c1-5(6)3-2-4-8-7/h3,6-7H,2,4H2,1H3",OHoleOOH
"C5H81OH2Q5",C=COH-C-C-COOH,"InChI=1S/C5H10O3/c1-5(6)3-2-4-8-7/h6-7H,1-4H2",OHoleOOH
"C5H8OH1KET2-3",COH-CO-COOH-C-C,"InChI=1S/C5H10O4/c1-2-5(9-8)4(7)3-6/h5-6,8H,2-3H2,1H3",OHKHP
"C5H8OH1KET2-4",COH-CO-C-COOH-C,"InChI=1S/C5H10O4/c1-4(9-8)2-5(7)3-6/h4,6,8H,2-3H2,1H3",OHKHP
"C5H8OH1KET2-5",COH-CO-C-C-COOH,"InChI=1S/C5H10O4/c6-4-5(7)2-1-3-9-8/h6,8H,1-4H2",OHKHP
"C5H8OH2KET1-3",CO-COH-COOH-C-C,"InChI=1S/C5H10O4/c1-2-5(9-8)4(7)3-6/h3-5,7-8H,2H2,1H3",OHKHP
"C5H8OH2KET1-4",CO-COH-C-COOH-C,"InChI=1S/C5H10O4/c1-4(9-8)2-5(7)3-6/h3-5,7-8H,2H2,1H3",OHKHP
"C5H8OH2KET1-5",CO-COH-C-C-COOH,"InChI=1S/C5H10O4/c6-4-5(7)2-1-3-9-8/h4-5,7-8H,1-3H2",OHKHP
"C5H8OH1KET5-4",COH-C-C-COOH-CO,"InChI=1S/C5H10O4/c6-3-1-2-5(4-7)9-8/h4-6,8H,1-3H2",OHKHP
"C5H8OH1KET5-3",COH-C-COOH-C-CO,"InChI=1S/C5H10O4/c6-3-1-5(9-8)2-4-7/h3,5,7-8H,1-2,4H2",OHKHP
"C5H8OH1KET5-2",COH-COOH-C-C-CO,"InChI=1S/C5H10O4/c6-3-1-2-5(4-7)9-8/h3,5,7-8H,1-2,4H2",OHKHP
"C5H8OH2KET4-3",C-COH-COOH-CO-C,"InChI=1S/C5H10O4/c1-3(6)5(9-8)4(2)7/h3,5-6,8H,1-2H3",OHKHP
"C5H8OH2KET4-5",C-COH-C-CO-COOH,"InChI=1S/C5H10O4/c1-4(6)2-5(7)3-9-8/h4,6,8H,2-3H2,1H3",OHKHP
"C5H8OH2KET4-1",COOH-COH-C-CO-C,"InChI=1S/C5H10O4/c1-4(6)2-5(7)3-9-8/h5,7-8H,2-3H2,1H3",OHKHP
"C5H8OH2KET5-4",C-COH-C-COOH-CO,"InChI=1S/C5H10O4/c1-4(7)2-5(3-6)9-8/h3-5,7-8H,2H2,1H3",OHKHP
